Title_Name,Title_URL,Script_URL
Collateral Damage,https://www.imsdb.com/Movie%20Scripts/Collateral%20Damage%20Script.html,https://www.imsdb.com/scripts/Collateral-Damage.html
Colombiana,https://www.imsdb.com/Movie%20Scripts/Colombiana%20Script.html,https://www.imsdb.com/scripts/Colombiana.html
Commando,https://www.imsdb.com/Movie%20Scripts/Commando%20Script.html,https://www.imsdb.com/scripts/Commando.html
Conan the Barbarian,https://www.imsdb.com/Movie%20Scripts/Conan%20the%20Barbarian%20Script.html,https://www.imsdb.com/scripts/Conan-the-Barbarian.html
Constantine,https://www.imsdb.com/Movie%20Scripts/Constantine%20Script.html,https://www.imsdb.com/scripts/Constantine.html
Courage Under Fire,https://www.imsdb.com/Movie%20Scripts/Courage%20Under%20Fire%20Script.html,https://www.imsdb.com/scripts/Courage-Under-Fire.pdf
Cowboys & Aliens,https://www.imsdb.com/Movie%20Scripts/Cowboys%20&%20Aliens%20Script.html,https://www.imsdb.com/scripts/Cowboys-&-Aliens.html
Cradle 2 the Grave,https://www.imsdb.com/Movie%20Scripts/Cradle%202%20the%20Grave%20Script.html,https://www.imsdb.com/scripts/Cradle-2-the-Grave.html
Crank,https://www.imsdb.com/Movie%20Scripts/Crank%20Script.html,https://www.imsdb.com/scripts/Crank.html
"Crouching Tiger, Hidden Dragon","https://www.imsdb.com/Movie%20Scripts/Crouching%20Tiger,%20Hidden%20Dragon%20Script.html","https://www.imsdb.com/scripts/Crouching-Tiger,-Hidden-Dragon.html"
"Crow Salvation, The","https://www.imsdb.com/Movie%20Scripts/Crow%20Salvation,%20The%20Script.html","https://www.imsdb.com/scripts/Crow-Salvation,-The.html"
"Crow, The","https://www.imsdb.com/Movie%20Scripts/Crow,%20The%20Script.html","https://www.imsdb.com/scripts/Crow,-The.html"
"Crow: City of Angels, The","https://www.imsdb.com/Movie%20Scripts/Crow:%20City%20of%20Angels,%20The%20Script.html","https://www.imsdb.com/scripts/Crow-City-of-Angels,-The.html"
Crying Game,https://www.imsdb.com/Movie%20Scripts/Crying%20Game%20Script.html,https://www.imsdb.com/scripts/Crying-Game.html
"Dark Knight Rises, The","https://www.imsdb.com/Movie%20Scripts/Dark%20Knight%20Rises,%20The%20Script.html","https://www.imsdb.com/scripts/Dark-Knight-Rises,-The.html"
"Dark Knight, The","https://www.imsdb.com/Movie%20Scripts/Dark%20Knight,%20The%20Script.html",Not accessible
Darkman,https://www.imsdb.com/Movie%20Scripts/Darkman%20Script.html,https://www.imsdb.com/scripts/Darkman.html
Dawn of the Dead,https://www.imsdb.com/Movie%20Scripts/Dawn%20of%20the%20Dead%20Script.html,https://www.imsdb.com/scripts/Dawn-of-the-Dead.html
Deadpool,https://www.imsdb.com/Movie%20Scripts/Deadpool%20Script.html,https://www.imsdb.com/scripts/Deadpool.html
"Debt, The","https://www.imsdb.com/Movie%20Scripts/Debt,%20The%20Script.html","https://www.imsdb.com/scripts/Debt,-The.html"
Deep Cover,https://www.imsdb.com/Movie%20Scripts/Deep%20Cover%20Script.html,https://www.imsdb.com/scripts/Deep-Cover.html
Deep Rising,https://www.imsdb.com/Movie%20Scripts/Deep%20Rising%20Script.html,https://www.imsdb.com/scripts/Deep-Rising.html
Defiance,https://www.imsdb.com/Movie%20Scripts/Defiance%20Script.html,https://www.imsdb.com/scripts/Defiance.html
Die Hard,https://www.imsdb.com/Movie%20Scripts/Die%20Hard%20Script.html,https://www.imsdb.com/scripts/Die-Hard.html
Die Hard 2,https://www.imsdb.com/Movie%20Scripts/Die%20Hard%202%20Script.html,https://www.imsdb.com/scripts/Die-Hard-2.html
Dragonslayer,https://www.imsdb.com/Movie%20Scripts/Dragonslayer%20Script.html,https://www.imsdb.com/scripts/Dragonslayer.html
Drive,https://www.imsdb.com/Movie%20Scripts/Drive%20Script.html,https://www.imsdb.com/scripts/Drive.html
Drive Angry,https://www.imsdb.com/Movie%20Scripts/Drive%20Angry%20Script.html,https://www.imsdb.com/scripts/Drive-Angry.html
Dune,https://www.imsdb.com/Movie%20Scripts/Dune%20Script.html,https://www.imsdb.com/scripts/Dune.html
Eagle Eye,https://www.imsdb.com/Movie%20Scripts/Eagle%20Eye%20Script.html,https://www.imsdb.com/scripts/Eagle-Eye.html
Eight Legged Freaks,https://www.imsdb.com/Movie%20Scripts/Eight%20Legged%20Freaks%20Script.html,https://www.imsdb.com/scripts/Eight-Legged-Freaks.html
El Mariachi,https://www.imsdb.com/Movie%20Scripts/El%20Mariachi%20Script.html,https://www.imsdb.com/scripts/El-Mariachi.html
Enemy of the State,https://www.imsdb.com/Movie%20Scripts/Enemy%20of%20the%20State%20Script.html,https://www.imsdb.com/scripts/Enemy-of-the-State.html
Entrapment,https://www.imsdb.com/Movie%20Scripts/Entrapment%20Script.html,https://www.imsdb.com/scripts/Entrapment.html
Equilibrium,https://www.imsdb.com/Movie%20Scripts/Equilibrium%20Script.html,https://www.imsdb.com/scripts/Equilibrium.pdf
Escape From L.A.,https://www.imsdb.com/Movie%20Scripts/Escape%20From%20L.A.%20Script.html,https://www.imsdb.com/scripts/Escape-From-L.A..html
Escape From New York,https://www.imsdb.com/Movie%20Scripts/Escape%20From%20New%20York%20Script.html,https://www.imsdb.com/scripts/Escape-From-New-York.html
Evil Dead II: Dead by Dawn,https://www.imsdb.com/Movie%20Scripts/Evil%20Dead%20II:%20Dead%20by%20Dawn%20Script.html,https://www.imsdb.com/scripts/Evil-Dead-II-Dead-by-Dawn.html
Executive Decision,https://www.imsdb.com/Movie%20Scripts/Executive%20Decision%20Script.html,Not accessible
Face Off,https://www.imsdb.com/Movie%20Scripts/Face%20Off%20Script.html,https://www.imsdb.com/scripts/Face-Off.html
Fair Game,https://www.imsdb.com/Movie%20Scripts/Fair%20Game%20Script.html,https://www.imsdb.com/scripts/Fair-Game.html
Fantastic Four,https://www.imsdb.com/Movie%20Scripts/Fantastic%20Four%20Script.html,https://www.imsdb.com/scripts/Fantastic-Four.html
Feast,https://www.imsdb.com/Movie%20Scripts/Feast%20Script.html,https://www.imsdb.com/scripts/Feast.html
"Fifth Element, The","https://www.imsdb.com/Movie%20Scripts/Fifth%20Element,%20The%20Script.html","https://www.imsdb.com/scripts/Fifth-Element,-The.html"
Fight Club,https://www.imsdb.com/Movie%20Scripts/Fight%20Club%20Script.html,https://www.imsdb.com/scripts/Fight-Club.html
Flash Gordon,https://www.imsdb.com/Movie%20Scripts/Flash%20Gordon%20Script.html,https://www.imsdb.com/scripts/Flash-Gordon.html
Freddy vs. Jason,https://www.imsdb.com/Movie%20Scripts/Freddy%20vs.%20Jason%20Script.html,https://www.imsdb.com/scripts/Freddy-vs.-Jason.html
"French Connection, The","https://www.imsdb.com/Movie%20Scripts/French%20Connection,%20The%20Script.html","https://www.imsdb.com/scripts/French-Connection,-The.html"
From Dusk Till Dawn,https://www.imsdb.com/Movie%20Scripts/From%20Dusk%20Till%20Dawn%20Script.html,https://www.imsdb.com/scripts/From-Dusk-Till-Dawn.html
"Fugitive, The","https://www.imsdb.com/Movie%20Scripts/Fugitive,%20The%20Script.html","https://www.imsdb.com/scripts/Fugitive,-The.html"
Fury,https://www.imsdb.com/Movie%20Scripts/Fury%20Script.html,Not accessible
G.I. Jane,https://www.imsdb.com/Movie%20Scripts/G.I.%20Jane%20Script.html,https://www.imsdb.com/scripts/G.I.-Jane.html
G.I. Joe: The Rise of Cobra,https://www.imsdb.com/Movie%20Scripts/G.I.%20Joe:%20The%20Rise%20of%20Cobra%20Script.html,https://www.imsdb.com/scripts/G.I.-Joe-The-Rise-of-Cobra.html
Gamer,https://www.imsdb.com/Movie%20Scripts/Gamer%20Script.html,https://www.imsdb.com/scripts/Gamer.html
Get Carter,https://www.imsdb.com/Movie%20Scripts/Get%20Carter%20Script.html,https://www.imsdb.com/scripts/Get-Carter.html
Get Shorty,https://www.imsdb.com/Movie%20Scripts/Get%20Shorty%20Script.html,https://www.imsdb.com/scripts/Get-Shorty.html
"Getaway, The","https://www.imsdb.com/Movie%20Scripts/Getaway,%20The%20Script.html","https://www.imsdb.com/scripts/Getaway,-The.html"
"Ghost and the Darkness, The","https://www.imsdb.com/Movie%20Scripts/Ghost%20and%20the%20Darkness,%20The%20Script.html","https://www.imsdb.com/scripts/Ghost-and-the-Darkness,-The.html"
Ghost Rider,https://www.imsdb.com/Movie%20Scripts/Ghost%20Rider%20Script.html,https://www.imsdb.com/scripts/Ghost-Rider.html
Ghost Ship,https://www.imsdb.com/Movie%20Scripts/Ghost%20Ship%20Script.html,https://www.imsdb.com/scripts/Ghost-Ship.html
Ghostbusters 2,https://www.imsdb.com/Movie%20Scripts/Ghostbusters%202%20Script.html,https://www.imsdb.com/scripts/Ghostbusters-2.html
Gladiator,https://www.imsdb.com/Movie%20Scripts/Gladiator%20Script.html,https://www.imsdb.com/scripts/Gladiator.html
Godzilla,https://www.imsdb.com/Movie%20Scripts/Godzilla%20Script.html,https://www.imsdb.com/scripts/Godzilla.html
